,product_details,cost,barcode,discount,in_stock,wholesale_cost
0,Cinthol cool 100g,142,8901023004599,0,25,11
1,Horlicks 200g,134,8901030807138,0,25,11
2,Lux glow 100g,105,8901030923722,0,25,11
3,Cinthol hlth 100g,36,8901023025136,0,25,11
4,Hamam 100g,39,8901030907449,0,25,11
5,Dettol original 75g,40,8901396393603,0,25,11
6,Vim 125ml,15,8901030962738,0,25,11
7,Cinthol lime 100g,140,8901023020353,0,25,11
8,Medimix 125g,49,8906057530861,0,25,11
9,Medimix 75g,32,8906057532582,0,25,11
10,Dove 100g,65,8901030984969,0,25,11
11,Santoor baby 75g,58,8901399003219,0,25,11
12,Santoor 4+1,199,8901399011016,0,25,11
13,Cinthol orignl 100g,50,8901023000034,0,25,11
14,Vim 250g,32,8901030859557,0,25,11
15,Cinthol orignl 150g,65,8901023023675,0,25,11
16,Santoor 41g,40,8901399007811,0,25,11
17,Exo round 250g,32,8902102163732,0,25,11
18,Goodnight liq 45ml,80,8901023019722,0,25,11
19,Goodnight combo,100,8901023019715,0,25,11
20,No.1 sandal 4+1,28,8901023007408,0,25,11
21,Santoor 4+1,199,8901399008177,0,25,11
22,All out liq 45mo,80,8906006430419,0,25,11
23,Santoor alofrsh3+1,138,8901399040023,0,25,11
24,Santoor 100g,36,8901399000591,0,25,11
25,Gokul Santol 70g,75,8906014520706,0,25,11
26,Gokul santol 30g,43,8906014520300,0,25,11
27,Santoor beauty 50g,49,8901399006524,0,25,11
28,Ponds sandal 50g,72,8901030869129,0,25,11
29,Ponds sanda 100g,135,8901030869112,0,25,11
30,Ponds d_flwr 50g,55,8901030869020,0,25,11
31,Ponds magic 50g,72,8901030868979,0,25,11
32,Ponds d_flwr 100g,110,8901030869013,0,25,11
33,Santoor roseglo 75g,45,8901399350023,0,25,11
34,Tulips cotton swabs,44,8904117400734,0,25,11
35,Santoor 100g,36,8901399000591,0,25,11
36,Mangaldeep 3in 1,10,8901725011529,0,25,11
37,Pepsi 250ml,20,8902080104024,0,25,11
38,ThumsUp 750ml,45,8901764042270,0,25,11
39,Harpic 500ml,105,8901396151005,0,25,11
40,Surf excel 65g,10,8901030907005,0,25,11
41,Mangaldeep 3in1,55,8901725004965,0,25,11
42,Pears pure&gentle,54,8901030982798,0,25,11
43,Black stone,55,8902264061075,0,25,11
44,Pears oil clear 75g,63,8901030871030,0,25,11
45,Mngldeep sandal 95g,55,8901725013219,0,25,11
46,Mngldeep sadhvi 100g,35,8901725710064,0.5,25,11
47,Ambica durbar 75g,50,8906004440052,0,25,11
48,Mngldeep sandal 14g,10,8901725013233,0,25,11
49,Mngldeep flora 14g,10,8901725014377,0,25,11
50,Cycle bansuri 22g,12,8901751015386,0,25,11
51,Cycle 3in1 88g,55,8901751021240,0.5,25,11
52,Ambica durbar 35g,25,8906004440045,0,25,11
53,Mngldeep anusri 60g,20,8901725012601,0,25,11
54,Glucoplus c,50,8901207044168,0,25,11
55,Dark fantasy 75g,40,8901725015275,0,25,11
56,Boost 200g,139,8901030817182,0,25,11
57,Boost 500g,299,8901030818660,0,25,11
58,Ujala 250ml,80,8902102194934,0,25,11
59,Ujala 75ml,32,8902102126980,0,25,11
60,Mngldeep treya,10,8901725710835,0,25,11
61,Milkbikis bscts 150g,35,8901063012349,0,25,11
62,Bounce orange 64g,10,8901725003098,0,25,11
63,Sunfeast allround 37g,5,8901725009144,0,25,11
64,Good day cashew,25,8901063093409,0,25,11
65,Moms magic 51g,10,8901725119416,0,25,11
66,Good day cashew,10,8901063093522,0,25,11
67,Good day butter,10,8901063092686,0,25,11
68,Bourbon the original 60g,10,8901063139374,0,25,11
69,Good day butter,5,8901063092709,0,25,11
70,Britannia 5050 s&s 63g,10,8901063016873,0,25,11
