,product_details,cost,barcode
0,3Roses 100g,90,8901030986543
1,Aachi turmeric powder 50g,17,8906021123112
2,Priya ginger garlic paste 20g,05,8904246920004
3,Ginger garlic paste  20g,05,8906081381163
4,Jersey Ghee 10ml,10,8906016410579
5,Kesher food colour 10g,03,8905910437279
6,Priya coarinder powder 15g,5,8904246930027
7,Priya Rasam powder 100g,45,8904246930737
8,Orange red food colour 10g,03,8905910107271
9,Gemini 50g,29,8901052021598
10,Lemon yellow food colour  10g,03,8905910117270
11,Dodla ghee 12ml,10,8906024482209
12,Aswini Hair oil 90ml,76,8908000498976
13,Parachute 175ml,60,8901088050586
14,Vatika  150ml,97,8901207038433
15,Dabur amla 180ml,95,8901207038389
16,Comfort fabric conditioner 210ml,58,8901030930980
17,Blue Comfort fabric conditioner 210ml,58,8901030930966
18,Blue Comfort fabric conditioner 430ml,120,8901030803659
19,Navratna oil 90ml,85,8901248104791
20,Navratna oil 45ml,45,8901248104784
21,Fair and handsome 15g,30,8901248253161
22,Vim liquid 500ml,125,8901030760587
23,Vim liquid 500ml,125,8901030962783
24,Surf Excel big bar 250g,35,8901030865169
25,Rin big bar 250g,25,8901030739552
26,Chakravarthi 175g,10,8908002378139
27,Rin bar 145ml,10,8901030968266
28,XXX bar 150g,10,8906056351320
29,Abhi Attukulu 500g,55,5670129021146
30,AASHIRVAAD salt 1kg,28,8901725123123
31,Gajraj  1kg,65,8904289700793
32,Gajraj 500g,34,8904289700823
33,Every day 200g,127,8901058869385
34,Sooji 500g,42,8906020750074
35,Spicy beats 456g,100,8906071881741
36,Alpenible gold 144g,50,8901393015829
37,India gate  1kg,167,690225101134
38,Alpenible gold 144g,50,8901393015836
39,Alpenible juicy fills 144g,50,8901393020946
40,Melody  391g,100,8901719220173
41,Dabur red paste 50g,25,8901207042713
42,Fair & lovely  15g,22,8901030966040
43,Fair &lovely 9g,10,8901030942648
44,Colgate  36g,20,8901314776334
45,Pepsodent 42g,20,8901030970405
46,Vim bar 60g,5,8901030862243
47,RKS Henna  10g,25,8906010540029
48,Gopuram kumkum 40g,12,8906048283233
