,product_details,cost,barcode
0,CInthol cool 100g,142,8901023004599
1,Horlicks 200g,134,8901030807138
2,Lux even toned glow 100g,105,8901030923722
3,CInthol health soap 100g,36,8901023025136
4,Hamam 100g,39,8901030907449
5,Dettol original 75g,40,8901396393603
6,Vim 125ml,15,8901030962738
7,CInthol lime 100g,140,8901023020353
8,Medimix 125g,49,8906057530861
9,Medimix 75g,32,8906057532582
10,Dove 100g,65,8901030984969
11,Santoor baby 75g,58,8901399003219
12,Santoor 4+1,199,8901399011016
13,CInthol original 100g,50,8901023000034
14,Vim 250g,32,8901030859557
15,CInthol original 150g,65,8901023023675
16,Santoor 41g,40,8901399007811
17,Exo round 250g,32,8902102163732
18,Good night liquid 45ml,80,8901023019722
19,Good night combi pack,100,8901023019715
20,No.1 sandal 4+1,28,8901023007408
21,Santoor 4+1,199,8901399008177
22,All out liquid 45mo,80,8906006430419
23,Santoor aloe fresh3+1,138,8901399040023
24,Santoor 100g,36,8901399000591
25,Gokul Santol 70g,75,8906014520706
26,Gokul santol 30g,43,8906014520300
27,Santoor beauty 50g,49,8901399006524
28,Ponds sandal 50g,72,8901030869129
29,Ponds sanda 100g,135,8901030869112
30,Ponds dreamflower 50g,55,8901030869020
31,Ponds magic 50g,72,8901030868979
32,Ponds dreamflower 100g,110,8901030869013
33,Santoor roseglo 75g,45,8901399350023
34,Tulips cotton swabs,44,8904117400734
35,Santoor 100g,36,8901399000591
36,Mangaldeep 3in 1,10,8901725011529
37,Pepsi 250ml,20,8902080104024
38,ThumsUp 750ml,45,8901764042270
39,Harpic 500ml,105,8901396151005
40,Surf excel 65g,10,8901030907005
41,Mangaldeep 3in1,55,8901725004965
42,Pears pure and gentle,54,8901030982798
43,Black stone,55,8902264061075
44,Pears oil clear glow 75g,63,8901030871030
45,Mangaldeep sandal 95g,55,8901725013219
46,Mangaldeep sadhvi 100g,35,8901725710064
47,Ambica durbar bathi 75g,50,8906004440052
48,Mangaldeep sandal 14g,10,8901725013233
49,Mangaldeep flora 14g,10,8901725014377
50,Cycle brand bansuri 22g,12,8901751015386
51,Cycle 3in1 88g,55,8901751021240
52,Ambica durbar bathi 35g,25,8906004440045
53,Mangaldeep anushri 60g,20,8901725012601
54,Glucoplus c,50,8901207044168
55,Dark fantasy 75g,40,8901725015275
56,Boost 200g,139,8901030817182
57,Boost 500g,299,8901030818660
58,Ujala supreme 250ml,80,8902102194934
59,Ujala supreme 75ml,32,8902102126980
60,Mangaldeep treya,10,8901725710835
61,Milk bikis biscuits 150g,35,8901063012349
62,Bounce orange creme 64g,10,8901725003098
63,Sunfeast all rounder 37g,5,8901725009144
64,Good day cashew,25,8901063093409
65,Moms magic 51g,10,8901725119416
66,Good day cashew,10,8901063093522
67,Good day butter,10,8901063092686
68,Bourbon the original 60g,10,8901063139374
